symbol,name,market_code,asset_class,currency,tick_size,lot_size
280360,롯데웰푸드,KRX,kr_stock,KRW,100,1
5300,롯데칠성,KRX,kr_stock,KRW,100,1
5690,파미셀,KRX,kr_stock,KRW,100,1
499790,GS피앤엘,KRX,kr_stock,KRW,100,1
298050,HS효성첨단소재,KRX,kr_stock,KRW,100,1
365550,ESR켄달스퀘어리츠,KRX,kr_stock,KRW,100,1
57050,현대홈쇼핑,KRX,kr_stock,KRW,100,1
248070,솔루엠,KRX,kr_stock,KRW,100,1
108320,LX세미콘,KRX,kr_stock,KRW,100,1
1510,SK증권,KRX,kr_stock,KRW,100,1
33240,자화전자,KRX,kr_stock,KRW,100,1
71055,한국금융지주우,KRX,kr_stock,KRW,100,1
100840,SNT에너지,KRX,kr_stock,KRW,100,1
137310,에스디바이오센서,KRX,kr_stock,KRW,100,1
192400,쿠쿠홀딩스,KRX,kr_stock,KRW,100,1
75580,세진중공업,KRX,kr_stock,KRW,100,1
00088K,한화3우B,KRX,kr_stock,KRW,100,1
451800,한화리츠,KRX,kr_stock,KRW,100,1
6650,대한유화,KRX,kr_stock,KRW,100,1
6120,SK디스커버리,KRX,kr_stock,KRW,100,1
484870,엠앤씨솔루션,KRX,kr_stock,KRW,100,1
79900,전진건설로봇,KRX,kr_stock,KRW,100,1
2020,코오롱,KRX,kr_stock,KRW,100,1
3160,디아이,KRX,kr_stock,KRW,100,1
25540,한국단자,KRX,kr_stock,KRW,100,1
285130,SK케미칼,KRX,kr_stock,KRW,100,1
71320,지역난방공사,KRX,kr_stock,KRW,100,1
178920,PI첨단소재,KRX,kr_stock,KRW,100,1
10780,아이에스동서,KRX,kr_stock,KRW,100,1
36530,SNT홀딩스,KRX,kr_stock,KRW,100,1
64960,SNT모티브,KRX,kr_stock,KRW,100,1
4490,세방전지,KRX,kr_stock,KRW,100,1
9240,한샘,KRX,kr_stock,KRW,100,1
3850,보령,KRX,kr_stock,KRW,100,1
336370,솔루스첨단소재,KRX,kr_stock,KRW,100,1
30190,NICE평가정보,KRX,kr_stock,KRW,100,1
5880,대한해운,KRX,kr_stock,KRW,100,1
79160,CJ CGV,KRX,kr_stock,KRW,100,1
11930,신성이엔지,KRX,kr_stock,KRW,100,1
214320,이노션,KRX,kr_stock,KRW,100,1
370,한화손해보험,KRX,kr_stock,KRW,100,1
3620,KG모빌리티,KRX,kr_stock,KRW,100,1
5250,녹십자홀딩스,KRX,kr_stock,KRW,100,1
00104K,CJ4우(전환),KRX,kr_stock,KRW,100,1
3030,세아제강지주,KRX,kr_stock,KRW,100,1
114090,GKL,KRX,kr_stock,KRW,100,1
