code,name,market,is_kospi200
030210,다올투자증권,KOSPI,False
009470,삼화전기,KOSPI,False
004560,현대비앤지스틸,KOSPI,False
007160,사조산업,KOSPI,False
432320,KB스타리츠,KOSPI,False
001790,대한제당,KOSPI,False
013890,지누스,KOSPI,False
0030R0,대신밸류리츠,KOSPI,False
004310,현대약품,KOSPI,False
004980,성신양회,KOSPI,False
122900,아이마켓코리아,KOSPI,False
377190,디앤디플랫폼리츠,KOSPI,False
033920,무학,KOSPI,False
084680,이월드,KOSPI,False
051905,LG생활건강우,KOSPI,False
404990,신한서부티엔디리츠,KOSPI,False
244920,에이플러스에셋,KOSPI,False
001630,종근당홀딩스,KOSPI,False
035150,백산,KOSPI,False
348950,제이알글로벌리츠,KOSPI,False
010580,에스엠벡셀,KOSPI,False
210980,SK디앤디,KOSPI,False
298690,에어부산,KOSPI,False
010955,S-Oil우,KOSPI,False
009680,모토닉,KOSPI,False
005430,한국공항,KOSPI,False
001080,만호제강,KOSPI,False
008490,서흥,KOSPI,False
003555,LG우,KOSPI,False
117580,대성에너지,KOSPI,False
025000,KPX케미칼,KOSPI,False
003350,한국화장품제조,KOSPI,False
000480,CR홀딩스,KOSPI,False
013580,계룡건설,KOSPI,False
012610,경인양행,KOSPI,False
487570,HS효성,KOSPI,False
000390,SP삼화,KOSPI,False
003220,대원제약,KOSPI,False
028100,동아지질,KOSPI,False
031440,신세계푸드,KOSPI,False
025820,이구산업,KOSPI,False
053210,스카이라이프,KOSPI,False
033530,SJG세종,KOSPI,False
007860,서연,KOSPI,False
03473K,SK우,KOSPI,False
102260,동성케미컬,KOSPI,False
016580,환인제약,KOSPI,False
002150,도화엔지니어링,KOSPI,False
102460,이연제약,KOSPI,False
003650,미창석유,KOSPI,False
007610,선도전기,KOSPI,False
095570,AJ네트웍스,KOSPI,False
000140,하이트진로홀딩스,KOSPI,False
003547,대신증권2우B,KOSPI,False
271980,제일약품,KOSPI,False
339770,교촌에프앤비,KOSPI,False
039570,HDC랩스,KOSPI,False
044820,코스맥스비티아이,KOSPI,False
000860,강남제비스코,KOSPI,False
016880,웅진,KOSPI,False
001045,CJ우,KOSPI,False
234080,JW생명과학,KOSPI,False
018470,조일알미늄,KOSPI,False
101530,해태제과식품,KOSPI,False
003610,방림,KOSPI,False
100250,진양홀딩스,KOSPI,False
003460,유화증권,KOSPI,False
002100,경농,KOSPI,False
005960,동부건설,KOSPI,False
007570,일양약품,KOSPI,False
015230,대창단조,KOSPI,False
081000,일진다이아,KOSPI,False
000520,삼일제약,KOSPI,False
460850,동국씨엠,KOSPI,False
017550,수산세보틱스,KOSPI,False
004090,한국석유,KOSPI,False
011785,금호석유화학우,KOSPI,False
006060,화승인더,KOSPI,False
097955,CJ제일제당 우,KOSPI,False
002170,SYTS,KOSPI,False
213500,한솔제지,KOSPI,False
293480,하나제약,KOSPI,False
016450,한세예스24홀딩스,KOSPI,False
214420,토니모리,KOSPI,False
000300,DH오토넥스,KOSPI,False
462520,조선내화,KOSPI,False
002990,금호건설,KOSPI,False
002780,진흥기업,KOSPI,False
400760,NH올원리츠,KOSPI,False
004960,한신공영,KOSPI,False
037560,LG헬로비전,KOSPI,False
071840,롯데하이마트,KOSPI,False
077500,유니퀘스트,KOSPI,False
317400,자이에스앤디,KOSPI,False
000020,동화약품,KOSPI,False
001520,동양,KOSPI,False
008970,KBI동양철관,KOSPI,False
013520,화승코퍼레이션,KOSPI,False
001360,삼성제약,KOSPI,False
003480,한진중공업홀딩스,KOSPI,False
090350,노루페인트,KOSPI,False
009070,KCTC,KOSPI,False
012800,대창,KOSPI,False
00279K,아모레퍼시픽홀딩스3우C,KOSPI,False
084670,동양고속,KOSPI,False
272550,삼양패키징,KOSPI,False
089470,HDC현대EP,KOSPI,False
000970,한국주철관,KOSPI,False
009580,무림P&P,KOSPI,False
003830,대한화섬,KOSPI,False
210540,디와이파워,KOSPI,False
33626K,두산퓨얼셀1우,KOSPI,False
004150,한솔홀딩스,KOSPI,False
000700,유수홀딩스,KOSPI,False
014280,금강공업,KOSPI,False
214390,경보제약,KOSPI,False
010100,한국무브넥스,KOSPI,False
004970,신라교역,KOSPI,False
008040,사조동아원,KOSPI,False
298000,효성화학,KOSPI,False
094280,효성ITX,KOSPI,False
021820,세원정공,KOSPI,False
079430,현대리바트,KOSPI,False
019180,티에이치엔,KOSPI,False
007540,샘표,KOSPI,False
009270,신원,KOSPI,False
012320,경동인베스트,KOSPI,False
078000,텔코웨어,KOSPI,False
015890,태경산업,KOSPI,False
024090,디씨엠,KOSPI,False
070960,모나용평,KOSPI,False
002620,제일파마홀딩스,KOSPI,False
020120,키다리스튜디오,KOSPI,False
016740,두올,KOSPI,False
002460,HS화성,KOSPI,False
123690,한국화장품,KOSPI,False
107590,미원홀딩스,KOSPI,False
025620,차AI헬스케어,KOSPI,False
011280,태림포장,KOSPI,False
027970,한국제지,KOSPI,False
005800,신영와코루,KOSPI,False
016710,대성홀딩스,KOSPI,False
083420,그린케미칼,KOSPI,False
139990,아주스틸,KOSPI,False
363280,티와이홀딩스,KOSPI,False
350520,이지스레지던스리츠,KOSPI,False
002390,한독,KOSPI,False
011700,한신기계,KOSPI,False
095720,웅진씽크빅,KOSPI,False
267290,경동도시가스,KOSPI,False
004080,신흥,KOSPI,False
001290,상상인증권,KOSPI,False
004250,NPC,KOSPI,False
014710,사조씨푸드,KOSPI,False
002220,한일철강,KOSPI,False
023800,인지컨트롤스,KOSPI,False
013570,디와이,KOSPI,False
067830,세이브존I&C,KOSPI,False
014530,극동유화,KOSPI,False
014580,태경비케이,KOSPI,False
007460,에이프로젠,KOSPI,False
035000,HS애드,KOSPI,False
007210,벽산,KOSPI,False
015590,DKME,KOSPI,False
002450,삼익악기,KOSPI,False
004140,동방,KOSPI,False
001020,페이퍼코리아,KOSPI,False
036580,팜스코,KOSPI,False
267850,아시아나IDT,KOSPI,False
120030,조선선재,KOSPI,False
227840,현대코퍼레이션홀딩스,KOSPI,False
248170,샘표식품,KOSPI,False
034590,인천도시가스,KOSPI,False
005870,휴니드,KOSPI,False
014790,HL D&I,KOSPI,False
014160,대영포장,KOSPI,False
007110,일신석재,KOSPI,False
019680,대교,KOSPI,False
025560,미래산업,KOSPI,False
011810,STX,KOSPI,False
058850,KTcs,KOSPI,False
005740,크라운해태홀딩스,KOSPI,False
264900,크라운제과,KOSPI,False
008260,NI스틸,KOSPI,False
37550L,DL이앤씨2우(전환),KOSPI,False
017370,우신시스템,KOSPI,False
036420,콘텐트리중앙,KOSPI,False
006840,AK홀딩스,KOSPI,False
023450,동남합성,KOSPI,False
008700,아남전자,KOSPI,False
006660,삼성공조,KOSPI,False
001275,부국증권우,KOSPI,False
063160,종근당바이오,KOSPI,False
002200,한국수출포장,KOSPI,False
078935,GS우,KOSPI,False
119650,KC코트렐,KOSPI,False
032560,황금에스티,KOSPI,False
079980,휴비스,KOSPI,False
004100,태양금속,KOSPI,False
003580,HLB글로벌,KOSPI,False
002700,신일전자,KOSPI,False
010660,화천기계,KOSPI,False
000230,일동홀딩스,KOSPI,False
058860,KTis,KOSPI,False
163560,동일고무벨트,KOSPI,False
004840,DRB동일,KOSPI,False
014440,영보화학,KOSPI,False
006890,태경케미컬,KOSPI,False
002210,동성제약,KOSPI,False
031820,아이티센씨티에스,KOSPI,False
007980,TP,KOSPI,False
023000,삼원강재,KOSPI,False
096775,SK이노베이션우,KOSPI,False
011000,진원생명과학,KOSPI,False
35320K,대덕전자1우,KOSPI,False
002720,국제약품,KOSPI,False
109070,주성코퍼레이션,KOSPI,False
011150,CJ씨푸드,KOSPI,False
013360,일성건설,KOSPI,False
004890,동일산업,KOSPI,False
000590,CS홀딩스,KOSPI,False
010960,삼호개발,KOSPI,False
005750,대림바스,KOSPI,False
000105,유한양행우,KOSPI,False
000180,성창기업지주,KOSPI,False
002600,조흥,KOSPI,False
001260,남광토건,KOSPI,False
009180,한솔로지스틱스,KOSPI,False
085310,엔케이,KOSPI,False
013870,지엠비코리아,KOSPI,False
338100,NH프라임리츠,KOSPI,False
004720,팜젠사이언스,KOSPI,False
055490,테이팩스,KOSPI,False
004440,삼일씨엔에스,KOSPI,False
018500,동원금속,KOSPI,False
001560,제일연마,KOSPI,False
003010,혜인,KOSPI,False
214330,금호에이치티,KOSPI,False
071090,하이스틸,KOSPI,False
111380,동인기연,KOSPI,False
007590,동방아그로,KOSPI,False
480370,씨케이솔루션,KOSPI,False
012690,모나리자,KOSPI,False
100220,비상교육,KOSPI,False
023810,인팩,KOSPI,False
001470,삼부토건,KOSPI,False
120115,코오롱인더우,KOSPI,False
007280,한국특강,KOSPI,False
068290,삼성출판사,KOSPI,False
004060,SG세계물산,KOSPI,False
009200,무림페이퍼,KOSPI,False
016090,대현,KOSPI,False
006090,사조오양,KOSPI,False
021050,서원,KOSPI,False
006880,신송홀딩스,KOSPI,False
000850,화천기공,KOSPI,False
047400,유니온머티리얼,KOSPI,False
069730,DSR제강,KOSPI,False
013700,까뮤이앤씨,KOSPI,False
000725,현대건설우,KOSPI,False
009770,삼정펄프,KOSPI,False
010040,한국내화,KOSPI,False
014910,성문전자,KOSPI,False
002795,아모레퍼시픽홀딩스우,KOSPI,False
003780,진양산업,KOSPI,False
003925,남양유업우,KOSPI,False
001620,케이비아이동국실업,KOSPI,False
011390,부산산업,KOSPI,False
378850,화승알앤에이,KOSPI,False
001465,BYC우,KOSPI,False
111110,호전실업,KOSPI,False
004540,깨끗한나라,KOSPI,False
001550,조비,KOSPI,False
009835,한화솔루션우,KOSPI,False
101140,인바이오젠,KOSPI,False
006980,우성,KOSPI,False
000220,유유제약,KOSPI,False
024900,디와이덕양,KOSPI,False
007815,코리아써우,KOSPI,False
000910,유니온,KOSPI,False
129260,인터지스,KOSPI,False
396690,미래에셋글로벌리츠,KOSPI,False
003060,에이프로젠바이오로직스,KOSPI,False
092780,DYP,KOSPI,False
155660,DSR,KOSPI,False
004830,덕성,KOSPI,False
058730,다스코,KOSPI,False
372910,한컴라이프케어,KOSPI,False
092440,기신정기,KOSPI,False
002760,보락,KOSPI,False
002140,고려산업,KOSPI,False
004410,서울식품,KOSPI,False
005305,롯데칠성우,KOSPI,False
004770,써니전자,KOSPI,False
072130,유엔젤,KOSPI,False
009190,대양금속,KOSPI,False
010770,평화홀딩스,KOSPI,False
006490,인스코비,KOSPI,False
003475,유안타증권우,KOSPI,False
004450,삼화왕관,KOSPI,False
003465,유화증권우,KOSPI,False
002630,오리엔트바이오,KOSPI,False
123700,SJM,KOSPI,False
000890,보해양조,KOSPI,False
041650,상신브레이크,KOSPI,False
075180,새론오토모티브,KOSPI,False
004920,씨아이테크,KOSPI,False
37550K,DL이앤씨우,KOSPI,False
017180,명문제약,KOSPI,False
025530,SJM홀딩스,KOSPI,False
023350,한국종합기술,KOSPI,False
357250,미래에셋맵스리츠,KOSPI,False
28513K,SK케미칼우,KOSPI,False
006345,대원전선우,KOSPI,False
006370,대구백화점,KOSPI,False
090080,평화산업,KOSPI,False
