symbol,name,market_code,asset_class,currency,tick_size,lot_size,is_active
279570,케이뱅크,KRX,kr_stock,KRW,100,1,TRUE
030000,제일기획,KRX,kr_stock,KRW,100,1,TRUE
097230,HJ중공업,KRX,kr_stock,KRW,100,1,TRUE
192820,코스맥스,KRX,kr_stock,KRW,100,1,TRUE
000120,CJ대한통운,KRX,kr_stock,KRW,100,1,TRUE
003690,코리안리,KRX,kr_stock,KRW,100,1,TRUE
017960,한국카본,KRX,kr_stock,KRW,100,1,TRUE
002790,아모레퍼시픽홀딩스,KRX,kr_stock,KRW,100,1,TRUE
081660,미스토홀딩스,KRX,kr_stock,KRW,100,1,TRUE
298020,효성티앤씨,KRX,kr_stock,KRW,100,1,TRUE
085620,미래에셋생명,KRX,kr_stock,KRW,100,1,TRUE
361610,SK아이이테크놀로지,KRX,kr_stock,KRW,100,1,TRUE
023590,다우기술,KRX,kr_stock,KRW,100,1,TRUE
077970,STX엔진,KRX,kr_stock,KRW,100,1,TRUE
005070,코스모신소재,KRX,kr_stock,KRW,100,1,TRUE
462870,시프트업,KRX,kr_stock,KRW,100,1,TRUE
001120,LX인터내셔널,KRX,kr_stock,KRW,100,1,TRUE
003540,대신증권,KRX,kr_stock,KRW,100,1,TRUE
475150,SK이터닉스,KRX,kr_stock,KRW,100,1,TRUE
395400,SK리츠,KRX,kr_stock,KRW,100,1,TRUE
006040,동원산업,KRX,kr_stock,KRW,100,1,TRUE
006280,녹십자,KRX,kr_stock,KRW,100,1,TRUE
003570,SNT다이내믹스,KRX,kr_stock,KRW,100,1,TRUE
069620,대웅제약,KRX,kr_stock,KRW,100,1,TRUE
020560,아시아나항공,KRX,kr_stock,KRW,100,1,TRUE
281820,케이씨텍,KRX,kr_stock,KRW,100,1,TRUE
030610,교보증권,KRX,kr_stock,KRW,100,1,TRUE
001740,SK네트웍스,KRX,kr_stock,KRW,100,1,TRUE
032350,롯데관광개발,KRX,kr_stock,KRW,100,1,TRUE
003530,한화투자증권,KRX,kr_stock,KRW,100,1,TRUE
001800,오리온홀딩스,KRX,kr_stock,KRW,100,1,TRUE
294870,IPARK현대산업개발,KRX,kr_stock,KRW,100,1,TRUE
004000,롯데정밀화학,KRX,kr_stock,KRW,100,1,TRUE
195870,해성디에스,KRX,kr_stock,KRW,100,1,TRUE
073240,금호타이어,KRX,kr_stock,KRW,100,1,TRUE
034230,파라다이스,KRX,kr_stock,KRW,100,1,TRUE
093370,후성,KRX,kr_stock,KRW,100,1,TRUE
007310,오뚜기,KRX,kr_stock,KRW,100,1,TRUE
006110,삼아알미늄,KRX,kr_stock,KRW,100,1,TRUE
012630,HDC,KRX,kr_stock,KRW,100,1,TRUE
066575,LG전자우,KRX,kr_stock,KRW,100,1,TRUE
051915,LG화학우,KRX,kr_stock,KRW,100,1,TRUE
000210,DL,KRX,kr_stock,KRW,100,1,TRUE
100090,SK오션플랜트,KRX,kr_stock,KRW,100,1,TRUE
003470,유안타증권,KRX,kr_stock,KRW,100,1,TRUE
082640,동양생명,KRX,kr_stock,KRW,100,1,TRUE
090460,비에이치,KRX,kr_stock,KRW,100,1,TRUE
192080,더블유게임즈,KRX,kr_stock,KRW,100,1,TRUE
003090,대웅,KRX,kr_stock,KRW,100,1,TRUE
181710,NHN,KRX,kr_stock,KRW,100,1,TRUE
300720,한일시멘트,KRX,kr_stock,KRW,100,1,TRUE
456040,OCI,KRX,kr_stock,KRW,100,1,TRUE
006340,대원전선,KRX,kr_stock,KRW,100,1,TRUE
